RUTA;FECHA;REFLIV;ORDLIV;TVACCE;CODCLI;@NOMBRE;AD1CLI;VILCLI;PESO;     NOMFOU;CODFOU;CODMOP;CULCOL;CPICLI
6330;28/12/2022;80769714;120;DE 7 A 11H          ;L0G696        ;ROCHE DIAGNOSTICS S.          ; AV. GENERALITAT, S/N                 ;SANT CUGAT DEL VALLES     ;38,432;REFRIGERADOS                  ;B             ;26;7;8174
6330;28/12/2022;80769715;100;09:00 A 13:00       ;L0MD81        ;CSC AT SOCIAL (FRED           ; D'ESLIDA 6                           ;VILADECANS                ;579,526;REFRIGERADOS                  ;B             ;26;62;8840
6330;28/12/2022;80769717;90;07:00 A 14:30       ;L0L526        ;LA PINEDA                     ; RONDA PONENT 133                     ;TERRASSA                  ;345,028;REFRIGERADOS                  ;B             ;26;33;8225
6330;28/12/2022;80769718;10;DE 6 A 8H           ;L0I714        ;MEETROPOLITAN                 ; PL. XAVIER CUGAT, 1 -                ;SANT CUGAT DEL VALLES     ;89;REFRIGERADOS                  ;B             ;26;14;8174
6330;28/12/2022;80769725;10;DE 6 A 8H           ;L0I714        ;MEETROPOLITAN                 ; PL. XAVIER CUGAT, 1 -                ;SANT CUGAT DEL VALLES     ;232;CONGELADOS                    ;B             ;PTY;31;8174
6330;28/12/2022;80769726;50;DE 7 A 10:30H       ;L0H168        ;LOUIS VUITTON                 ; AVDA. TORRE D'EN MATEU               ;BARBERA DEL VALLES        ;10;CONGELADOS                    ;B             ;PTY;1;8210
6330;28/12/2022;80769731;120;DE 7 A 11H          ;L0G696        ;ROCHE DIAGNOSTICS S.          ; AV. GENERALITAT, S/N                 ;SANT CUGAT DEL VALLES     ;113;CONGELADOS                    ;B             ;PTY;14;8174
6330;28/12/2022;80769755;110;07:00 A 13:30       ;L0L529        ;CENTRE MEDIC MOLINS           ; P TERRAPLE, 97                       ;MOLINS DE REY             ;270,558;REFRIGERADOS                  ;B             ;26;25;8750
6340;28/12/2022;80769700;10;ENTREGA DE 08 A 13 H;L0JF51        ;RESIDENCIA 3 EDAT CAN TARRIDA ; AV DOLCA DE PROVENCA                 ;TORRELLES DE LLOBREGAT    ;60;CONGELADOS                    ;B             ;PTY;13;8629
6340;28/12/2022;80769721;100;DE 7:30 A 11:00H    ;L0G348        ;REFERENCE LABORATORY          ; C/ PABLO IGLESIAS, 57                ;L'HOSPITALET DE LLOBREGAT ;46,704;REFRIGERADOS                  ;B             ;26;5;8908
6340;28/12/2022;80769722;10;ENTREGA DE 08 A 13 H;L0JF51        ;RESIDENCIA 3 EDAT CAN TARRIDA ; AV DOLCA DE PROVENCA                 ;TORRELLES DE LLOBREGAT    ;170,807;REFRIGERADOS                  ;B             ;26;17;8629
6340;28/12/2022;80769724;80;8:00 A 13:00        ;L0LG41        ;RESIDENCIA BLAU ALMEDA        ;  DE L HOSPITALET 236                 ;CORNELLA DEL LLOBREGAT    ;113,75;CONGELADOS                    ;B             ;PTY;14;8940
6340;28/12/2022;80769736;10;ENTREGA DE 08 A 13 H;L0NF55        ;CLINICA DIAGONAL PACIENTES    ; SANT MATEU 24                        ;ESPLUGUES DE LLOBREGAT    ;120;REFRIGERADOS                  ;B             ;26;10;8950
6340;28/12/2022;80769744;80;8:00 A 13:00        ;L0LG41        ;RESIDENCIA BLAU ALMEDA        ;  DE L HOSPITALET 236                 ;CORNELLA DEL LLOBREGAT    ;188,527;REFRIGERADOS                  ;B             ;26;22;8940
6340;28/12/2022;80769749;10;ENTREGA DE 08 A 13 H;L0NF55        ;CLINICA DIAGONAL PACIENTES    ; SANT MATEU 24                        ;ESPLUGUES DE LLOBREGAT    ;10;CONGELADOS                    ;B             ;PTY;1;8950
6350;28/12/2022;80769689;50;                    ;L0JC95        ;RES. FELIX LLOBET             ; Avda. Isidro Marti, 17               ;ESPLUGUES LLOBREGAT       ;142;CONGELADOS                    ;B             ;PTY;15;8950
6350;28/12/2022;80769699;100;07:30 A 16:30       ;L0MD88        ;RESIDENCIA ALLEGRA            ; C/ SARDA,120                         ;SABADELL                  ;49;CONGELADOS                    ;B             ;PTY;12;8203
6350;28/12/2022;80769729;100;07:30 A 16:30       ;L0MD88        ;RESIDENCIA ALLEGRA            ; C/ SARDA,120                         ;SABADELL                  ;10;CONGELADOS                    ;B             ;PTY;1;8203
6350;28/12/2022;80769730;50;                    ;L0JC95        ;RES. FELIX LLOBET             ; Avda. Isidro Marti, 17               ;ESPLUGUES LLOBREGAT       ;10;CONGELADOS                    ;B             ;PTY;1;8950
