CLIENTE;NOMBRE;REFERENCIA;D_ENTREGA;CAJAS;PREPARADO;RUTA;POBLACION
L0L548        ;FUNDACIO PERE BADIA           ;80776474;20230130;29;35;7180;TORREDEMBARRA
L0KD62        ;APASA                         ;80776475;20230130;4;6;7180;AMPOSTA
L0I714        ;MEETROPOLITAN                 ;80776476;20230130;26;28;6130;SANT CUGAT DEL VALLES
L0LG13        ;ESCOLA PIA DE SITGES          ;80776477;20230130;3;10;7180;SITGES
L0G232        ;HOSP MARE DDEU MERCE          ;80776478;20230130;12;14;6120;BARCELONA
L0ND78        ;ESCOLA NEN DEU                ;80776479;20230130;5;5;6120;BARCELONA
L0G360        ;STORA ENSO                    ;80776480;20230130;9;21;6140;CASTELLBISBAL
L0KC06        ;ESCOLA LA ROUREDA             ;80776481;20230130;3;3;7180;SANT ESTEVE SESROVIRES
L0LG39        ;MASIES DE MOLLET RESIDENCIAL  ;80776482;20230130;14;15;6130;MOLLET DEL VALLES
L0I397        ;LESTONNAC  COLLEGI            ;80776483;20230130;36;42;6110;BARCELONA
L0L266        ;RESIDENCIA ROCA I PI          ;80776484;20230130;16;19;6120;BADALONA
L0JC94        ;COL·LEGI ESCORIAL             ;80776485;20230130;6;6;6120;VIC
L0JF65        ;E. ELS COSSETANS              ;80776486;20230130;14;22;7180;CUNIT
L0L539        ;EL TAMARIU /CAL SAIO          ;80776487;20230130;9;15;6110;EL PRAT
L0GE97        ;CASAL DELS ANGELS             ;80776488;20230130;29;36;6150;L'HOSPITALET DE LLOBREGAT
L0L538        ;FONT FLORIDA                  ;80776489;20230130;16;24;6110;BARCELONA
L0G696        ;ROCHE DIAGNOSTICS S.          ;80776490;20230130;16;22;6130;SANT CUGAT DEL VALLES
L0KA39        ;LABORATORIOS MENARIN          ;80776491;20230130;6;12;6120;BADALONA
