CLIENTE;NOMBRE;REFERENCIA;D_ENTREGA;CAJAS;PREPARADO;RUTA;POBLACION
L0MD37        ;LYCEE FRANCAIS D. BA          ;80776555;20230130;12;12;6105;BARCELONA
L0H846        ;ESSITY SPAIN, S. L.           ;80776556;20230130;6;6;7180;PUIGPELAT
L0MD36        ;TELEVISIO D. CATALUN          ;80776557;20230130;1;1;6140;SANT JOAN DESPI
L0L528        ;AIDAR RUBI                    ;80776558;20230130;28;28;6130;RUBI
L0H168        ;LOUIS VUITTON                 ;80776559;20230130;6;6;6130;BARBERA DEL VALLES
L0MD51        ;RCIA.L MAS D'ANGLI            ;80776560;20230130;10;10;6110;BARCELONA
L0G346        ;DOW CHEMICAL (NORTE)          ;80776561;20230130;14;14;7180;TARRAGONA
L0ND30        ;FEDAC HORTA                   ;PV-601875                     ;20230130;1;1;6120;BARCELONA
L0G345        ;DOW CHEMICAL (SUR)            ;PV-599985                     ;20230130;3;3;7180;TARRAGONA
L0ND30        ;FEDAC HORTA                   ;PV-601874                     ;20230130;1;1;6120;BARCELONA
L0G232        ;HOSP MARE DDEU MERCE          ;PV-602589                     ;20230130;3;3;6120;BARCELONA
L0G348        ;REFERENCE LABORATORY          ;PV-602703                     ;20230130;2;2;6150;L'HOSPITALET DE LLOBREGAT
L0H168        ;LOUIS VUITTON                 ;PV-602933                     ;20230130;5;5;6130;BARBERA DEL VALLES
L0G566        ;LOUIS VUITTON II - B          ;PV-602966                     ;20230130;1;1;6130;BARCELONA
L0MD64        ;ARAN SALUT                    ;PV-602982                     ;20230130;1;1;7126;VIELHA
L0JE72        ;BASF ESPANOLA-TARR            ;PV-602986                     ;20230130;9;9;7180;LA CANONJA
L0I714        ;MEETROPOLITAN                 ;PV-603031                     ;20230130;4;4;6130;SANT CUGAT DEL VALLES
L0G346        ;DOW CHEMICAL (NORTE)          ;PV-603059                     ;20230130;5;5;7180;TARRAGONA
L0MD37        ;LYCEE FRANCAIS D. BA          ;PV-603265                     ;20230130;4;4;6105;BARCELONA
L0H846        ;ESSITY SPAIN, S. L.           ;PV-603269                     ;20230130;4;4;7180;PUIGPELAT
L0KA39        ;LABORATORIOS MENARIN          ;PV-603312                     ;20230130;2;2;6120;BADALONA
L0I099        ;KELLOGGS                      ;PV-603317                     ;20230130;2;2;7180;VALLS
L0G345        ;DOW CHEMICAL (SUR)            ;PV-603431                     ;20230130;7;7;7180;TARRAGONA
L0G345        ;DOW CHEMICAL (SUR)            ;80776564;20230130;4;4;7180;TARRAGONA
L0K981        ;SANDVIK ESPANOLA              ;AV 784111                     ;20230130;1;1;6130;MARTORELLES
L0ND81        ;RESID. VENDRELL               ;AV 784179                     ;20230130;1;1;7180;EL VENDRELL
L0JC95        ;RES. FELIX LLOBET             ;AV 784216                     ;20230130;2;2;6150;ESPLUGUES LLOBREGAT
L0G348        ;REFERENCE LABORATORY          ;AV 784230                     ;20230130;1;1;6150;L'HOSPITALET DE LLOBREGAT
L0L529        ;CENTRE MEDIC MOLINS           ;AV 784359                     ;20230130;1;1;6150;MOLINS DE REY
L0G360        ;STORA ENSO                    ;AV 784383                     ;20230130;1;1;6140;CASTELLBISBAL
L0ND81        ;RESID. VENDRELL               ;AV 784384                     ;20230130;1;1;7180;EL VENDRELL
L0LG22        ;POLICLINICA VENDRELL          ;AV 784393                     ;20230130;2;2;7180;VENDRELL
L0LE81        ;GENT GRAN REUS                ;AV 784422                     ;20230130;1;1;7180;REUS
L0MG96        ;HIGHLANDS SCHOOL BARCELONA    ;AV 784433                     ;20230130;6;6;6150;ESPLUGUES DE LLOBREGAT
L0JC82        ;ANGELICAS BCN                 ;AV 784434                     ;20230130;2;2;6110;BARCELONA
L0G696        ;ROCHE DIAGNOSTICS S.          ;AV 784476                     ;20230130;1;1;6130;SANT CUGAT DEL VALLES
L0G346        ;DOW CHEMICAL (NORTE)          ;AV 784478                     ;20230130;1;1;7180;TARRAGONA
L0G346        ;DOW CHEMICAL (NORTE)          ;AV 784478.                    ;20230130;1;1;7180;TARRAGONA
L0G348        ;REFERENCE LABORATORY          ;AV 784479                     ;20230130;2;2;6150;L'HOSPITALET DE LLOBREGAT
L0G345        ;DOW CHEMICAL (SUR)            ;AV 784486                     ;20230130;5;5;7180;TARRAGONA
L0JE72        ;BASF ESPANOLA-TARR            ;AV 784510                     ;20230130;19;19;7180;LA CANONJA
L0KA39        ;LABORATORIOS MENARIN          ;AV 784517                     ;20230130;1;1;6120;BADALONA
L0G566        ;LOUIS VUITTON II - B          ;AV 784518                     ;20230130;1;1;6130;BARCELONA
L0G566        ;LOUIS VUITTON II - B          ;AV 784533                     ;20230130;1;1;6130;BARCELONA
L0MD37        ;LYCEE FRANCAIS D. BA          ;AV 784536                     ;20230130;2;2;6105;BARCELONA
L0L569        ;CEIP RIBAGORCA                ;AV 784577                     ;20230130;1;1;7126;PONT DE SUERT
L0H846        ;ESSITY SPAIN, S. L.           ;AV 784578                     ;20230130;3;3;7180;PUIGPELAT
L0H168        ;LOUIS VUITTON                 ;AV 784587                     ;20230130;2;2;6130;BARBERA DEL VALLES
L0I099        ;KELLOGGS                      ;AV 784593                     ;20230130;1;1;7180;VALLS
L0I099        ;KELLOGGS                      ;AV 784629                     ;20230130;1;1;7180;VALLS
L0G566        ;LOUIS VUITTON II - B          ;AV 784710                     ;20230130;1;1;6130;BARCELONA
L0JE72        ;BASF ESPANOLA-TARR            ;AV 784775                     ;20230130;4;4;7180;LA CANONJA
L0H168        ;LOUIS VUITTON                 ;80776569;20230130;5;5;6130;BARBERA DEL VALLES
L0JC79        ;ESCOLA PARE COLL              ;80776571;20230130;2;2;6120;VIC
L0G566        ;LOUIS VUITTON II - B          ;80776572;20230130;2;2;6130;BARCELONA
L0L548        ;FUNDACIO PERE BADIA           ;80776573;20230130;1;1;7180;TORREDEMBARRA
L0LG40        ;CENTRE RESIENCIAL CUGAT NATURA;80776574;20230130;1;1;6130;SANT CUGAT DEL VALLES
